DATE,TYPE,UR,PA,AL,FI,SB,GR,RI,TR,TO,OR,VI,RV,NV,DG,WS,RV_W,area_id
1964,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1965,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1966,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1967,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1968,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1969,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1970,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1971,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1972,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1973,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1974,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1975,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1976,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1977,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1978,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1979,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1980,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1981,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1982,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1983,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1984,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1985,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1986,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1987,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1988,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1989,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1990,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1991,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1992,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1993,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1994,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1995,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1996,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1997,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1998,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1999,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2000,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2001,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2002,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2003,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2004,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2005,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2006,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2007,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2008,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2009,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2010,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2011,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2012,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2013,D,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2014,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2015,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2016,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2017,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2018,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2019,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2020,AN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2021,C,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2022,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2023,BN,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
2024,W,4,0,0,0,0,0,0,0,0,0,0,139,0,0,0,2945,2
1922,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1923,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1924,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1925,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1926,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1927,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1928,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1929,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1930,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1931,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1932,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1933,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1934,C,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1935,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1936,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1937,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1938,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1939,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1940,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1941,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1942,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1943,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1944,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1945,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1946,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1947,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1948,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1949,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1950,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1951,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1952,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1953,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1954,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1955,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1956,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1957,AN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1958,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1959,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1960,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1961,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1962,BN,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1963,W,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
1964,D,7,0,0,0,0,0,0,0,0,0,0,2840,880,0,0,4152,3
